broken_url,campaign_name,ad_id,ad_status,historical_spend,historical_clicks,suggested_replacement
https://www.naturesseed.com/arroyo-lupine,US | Search | Product Ads,672991804261; 675295064858,ENABLED; REMOVED,4.58,2,https://naturesseed.com/products/wildflower-seed/arroyo-lupine/
https://www.naturesseed.com/amity-tall-fescue,US | Search | Product Ads,672991665739,ENABLED,4.57,3,https://naturesseed.com/products/grass-seed/amity-tall-fescue/
https://www.naturesseed.com/birdsfoot-trefoil,US | Search | Product Ads,673049834087,ENABLED,4.51,5,https://naturesseed.com/products/pasture-seed/birdsfoot-trefoil/
https://www.naturesseed.com/bluebunch-wheatgrass,US | Search | Product Ads,673049865800,ENABLED,4.18,5,https://naturesseed.com/products/grass-seed/bluebunch-wheatgrass/
https://www.naturesseed.com/mountain-lupine,US | Search | Product Ads,673049843492,ENABLED,4.00,1,https://naturesseed.com/products/wildflower-seed/mountain-lupine/
https://www.naturesseed.com/blue-eyed-grass,US | Search | Product Ads,673049945732; 675242942149,ENABLED; REMOVED,3.86,5,https://naturesseed.com/products/grass-seed/blue-eyed-grass/
https://www.naturesseed.com/arizona-fescue,US | Search | Product Ads,672953691249,ENABLED,3.61,3,https://naturesseed.com/products/grass-seed/arizona-fescue/
https://www.naturesseed.com/forage-chicory,US | Search | Product Ads,672991729156,ENABLED,3.61,4,https://naturesseed.com/products/pasture-seed/forage-chicory/
https://www.naturesseed.com/foothill-needlegrass,US | Search | Product Ads,672953637753,ENABLED,3.53,1,https://naturesseed.com/products/grass-seed/foothill-needlegrass/
https://www.naturesseed.com/chewings-fescue-grass,US | Search | Product Ads,672953650764,ENABLED,3.47,1,https://naturesseed.com/products/grass-seed/chewings-fescue-grass/
https://www.naturesseed.com/grain-sorghum,US | Search | Product Ads,673049778701,ENABLED,3.38,7,MANUAL REVIEW NEEDED
https://www.naturesseed.com/tomcat-clover,US | Search | Product Ads,673049778704,ENABLED,3.38,3,https://naturesseed.com/products/clover-seed/tomcat-clover/
https://www.naturesseed.com/creeping-foxtail,US | Search | Product Ads,673049833907,ENABLED,3.33,3,MANUAL REVIEW NEEDED
https://www.naturesseed.com/cicer-milkvetch,US | Search | Product Ads,673049804300,ENABLED,3.21,4,https://naturesseed.com/products/pasture-seed/cicer-milkvetch/
https://www.naturesseed.com/sun-shade-seed-mix,US | Search | Product Ads,672953680281,ENABLED,3.17,2,https://naturesseed.com/products/grass-seed/sun-shade-seed-mix/
https://www.naturesseed.com/intermediate-wheatgrass,US | Search | Product Ads,673049804375,ENABLED,3.16,2,https://naturesseed.com/products/grass-seed/intermediate-wheatgrass/
https://www.naturesseed.com/cattle-spinach,US | Search | Product Ads,673049788508; 687328799958,ENABLED; REMOVED,2.72,1,https://naturesseed.com/products/pasture-seed/cattle-spinach/
https://www.naturesseed.com/canada-bluegrass,US | Search | Product Ads,672953655738,ENABLED,2.54,3,https://naturesseed.com/products/grass-seed/canada-bluegrass/
https://www.naturesseed.com/california-barley,US | Search | Product Ads,672991820632; 675295046874,ENABLED; REMOVED,2.40,2,https://naturesseed.com/products/grass-seed/california-barley/
https://www.naturesseed.com/bay-area-wildflower-mix,US | Search | Product Ads,675651186627; 673049891501,ENABLED; REMOVED,2.35,3,https://naturesseed.com/products/wildflower-seed/bay-area-wildflower-mix/
https://www.naturesseed.com/big-bluegrass,US | Search | Product Ads,672953684862,ENABLED,2.35,2,https://naturesseed.com/products/grass-seed/big-bluegrass/
https://www.naturesseed.com/desert-marigold,US | Search | Product Ads,672953710065,ENABLED,2.34,3,MANUAL REVIEW NEEDED
https://www.naturesseed.com/white-proso-millet,US | Search | Product Ads,672953655525,ENABLED,2.27,2,MANUAL REVIEW NEEDED
https://www.naturesseed.com/forage-kochia,US | Search | Product Ads,672953637480; 687369010495,ENABLED; REMOVED,2.25,3,https://naturesseed.com/products/pasture-seed/forage-kochia/
https://www.naturesseed.com/red-clover,US | Search | Product Ads,673049816819,ENABLED,2.23,3,https://naturesseed.com/products/clover-seed/red-clover/
https://www.naturesseed.com/smooth-aster,US | Search | Product Ads,672991752844,ENABLED,2.20,2,MANUAL REVIEW NEEDED
https://www.naturesseed.com/purple-prairie-clover,US | Search | Product Ads,672953638299,ENABLED,1.85,4,https://naturesseed.com/products/clover-seed/purple-prairie-clover/
https://www.naturesseed.com/blue-wildrye,US | Search | Product Ads,675242948281; 672991823926,ENABLED; REMOVED,1.79,2,https://naturesseed.com/products/grass-seed/blue-wildrye/
https://www.naturesseed.com/zorro-fescue,US | Search | Product Ads,673010104783; 672991804939; 687369012379,ENABLED; REMOVED,1.74,1,https://naturesseed.com/products/grass-seed/zorro-fescue/
https://www.naturesseed.com/scarlet-globemallow,US | Search | Product Ads,673049887883,ENABLED,1.70,1,https://naturesseed.com/products/wildflower-seed/scarlet-globemallow/
https://www.naturesseed.com/sky-lupine,US | Search | Product Ads,673068698144; 675108271140,ENABLED; REMOVED,1.56,1,https://naturesseed.com/products/wildflower-seed/sky-lupine/
https://www.naturesseed.com/little-barley,US | Search | Product Ads,672953739540; 687328798980,ENABLED; REMOVED,1.50,1,https://naturesseed.com/products/grass-seed/little-barley/
https://www.naturesseed.com/slender-wheatgrass,US | Search | Product Ads,672991769641,ENABLED,1.47,1,https://naturesseed.com/products/grass-seed/slender-wheatgrass/
https://www.naturesseed.com/arrowleaf-balsamroot,US | Search | Product Ads,672991862599,ENABLED,1.41,1,https://naturesseed.com/products/wildflower-seed/arrowleaf-balsamroot/
https://www.naturesseed.com/creosote-bush,US | Search | Product Ads,673068689717; 687369017929,ENABLED; REMOVED,1.27,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/moss-verbena,US | Search | Product Ads,674690648578,ENABLED,1.23,1,https://naturesseed.com/products/wildflower-seed/moss-verbena/
https://www.naturesseed.com/california-coastal-native-wildflower-mix,US | Search | Product Ads,673648965284,ENABLED,1.19,2,https://naturesseed.com/products/wildflower-seed/california-coastal-native-wildflower-mix/
https://www.naturesseed.com/chaparral-yucca,US | Search | Product Ads,672991831576,ENABLED,1.18,1,https://naturesseed.com/products/wildflower-seed/chaparral-yucca/
https://www.naturesseed.com/sandberg-bluegrass,US | Search | Product Ads,672991728847,ENABLED,1.16,2,https://naturesseed.com/products/grass-seed/sandberg-bluegrass/
https://www.naturesseed.com/california-bluebell,US | Search | Product Ads,672953628396,ENABLED,0.96,1,https://naturesseed.com/products/wildflower-seed/california-bluebell/
https://www.naturesseed.com/globe-gilia,US | Search | Product Ads,672991758442,ENABLED,0.94,2,https://naturesseed.com/products/wildflower-seed/globe-gilia/
https://www.naturesseed.com/standing-cypress,US | Search | Product Ads,672991831360,ENABLED,0.93,1,MANUAL REVIEW NEEDED
https://www.naturesseed.com/tansy-aster,US | Search | Product Ads,672991804228,ENABLED,0.92,2,MANUAL REVIEW NEEDED
https://www.naturesseed.com/munro-globemallow,US | Search | Product Ads,672953758512,ENABLED,0.91,1,https://naturesseed.com/products/wildflower-seed/munro-globemallow/
https://www.naturesseed.com/great-basin-wildflower-mix,US | Search | Product Ads,673049866070,ENABLED,0.88,1,https://naturesseed.com/products/wildflower-seed/great-basin-wildflower-mix/
