Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
turf-nw-2000-f,Northwest Seed Blend - Grass Seed | Nature's Seed,grass seed,northwest seed blend,67.35,119,1.0,13.71,0.2
pb-swts,Southwest Transitional Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,southwest transitional sheep forage mix,67.31,168,0.5,18.8,0.28
turf-ne-5000-f,Northeast Seed Blend - Grass Seed | Nature's Seed,grass seed,northeast seed blend,67.23,132,1.01,54.1,0.8
gla_185098,Mid-West/Mid-Atlantic Upland Game Food Plot Mix,specialty seed,specialty seed by region,66.91,34,0.12,16.55,0.25
gla_184758,Southwest Desert Pollinator Mix,specialty seed,pollinator seed blends,66.62,58,0.27,35.6,0.53
gla_183640,Mid-West/Mid-Atlantic Beef Cattle Forage Mix,pasture seed,cattle pastures,65.81,77,0.01,0.35,0.01
pb-nbm,Native Bioswale Mix Specialty Seed | Nature's Seed,specialty seed,native bioswale mix,65.66,86,0.66,0.66,0.01
gla_406947,Deer Resistant Wildflower Seed Mix,wildflower seeds,wildflower seed by region,65.16,147,0.5,15.14,0.23
pg-seit-50-lb,Foxtail Millet - Pasture Seed | Nature's Seed,pasture seed,foxtail millet,65.01,227,2.33,28.54,0.44
pb-dss-1-lb,Desert Sage Scrub Mix - Specialty Seed | Nature's Seed,specialty seed,desert sage scrub mix,64.72,148,2.16,46.12,0.71
gla_445283,"Nature's Seed Any Region Pasture & Forage 10 Lb for 10,000 Sq Ft Mix Clean, High-Energy Blend for Pigs",pasture seeds,pasture seeds mix,64.58,69,1.01,1.92,0.03
pb-ssd,Southern Subtropics Dryland Pasture Mix Specialty Seed | Nature's Seed,specialty seed,southern subtropics dryland pasture mix,63.54,73,0.33,10.82,0.17
gla_455450,"Nature's Seed Plains Prairie Seed Mix 8 lb Bag - Native Wildflower & Grass Blend, Covers 1,000 Sq Ft",food plot,food plot mix wildlife attractor,63.39,59,1.0,18.77,0.3
gla_185681,Virginia Wildrye,sale,individual pasture species,63.29,91,1.08,56.02,0.89
