Original Item ID,Original Title,Product Type,Campaign,Total Cost,Total Conversions
pg-pegl2,Hybrid Pearl Millet Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,6.33,1
pb-ftg,Florida Tropics Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,6.2,1
pb-glpb,Great Lakes/New England Poultry Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,6.1,2
pg-trfr,Strawberry Clover Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,6.02,0.97
pb-iwg,Intermountain West Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,5.81,0
pb-glp,Great Lakes/New England Pollinator Mix Specialty Seed | Nature's Seed,specialty seed,Great Lakes / New England | Shopping,5.78,0
pg-sosu,Sudangrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,5.7,0
pb-gldc,Great Lakes/New England Dairy Cow Forage Mix,pasture seed,US | Performance Max | Forage Mixes,5.55,0
pb-tort,Tortoise Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,5.49,0
pg-spcr,Sand Dropseed,pasture seed,US | Shopping | Catchall - Pasture Seed,5.32,1
pb-fts,Florida Tropics Sheep Forage Mix,pasture seed,US | Performance Max | Forage Mixes,5.29,0
w-assy,Common Milkweed,wildflower seed,US | Shopping | Catchall - Wildflower Seed,5.26,0
pb-ssad,Southwest Semi-Arid Steppe Dryland Pasture Mix,specialty seed,US | Shopping | Catchall - Specialty Seed,5,0
pb-pnwb,Pacific Northwest Bison Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.97,0.5
w-bamu,Desert Marigold,wildflower seed,US | Shopping | Catchall - Wildflower Seed,4.89,4.5
pg-fear,Arizona Fescue Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.72,0
w-vide,Desert Sunflower,wildflower seed,US | Shopping | Catchall - Wildflower Seed,4.67,0
w-abvi,Desert Sand Verbena,wildflower seed,Shopping | grass | ROAS,4.65,0
pb-swts,Southwest Transitional Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.64,0
pg-agin,Intermediate Wheatgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.52,1
pb-ssdc,Southern Subtropics Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.36,0
pg-hean,Annual Sunflower Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.35,0
pb-pnwdc,Pacific Northwest Dairy Cow Forage Mix,pasture seed,Pacific Northwest | Shopping | Forage Mixes,4.31,0
pg-spcr,Sand Dropseed Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.28,1
pb-ssaal,Southwest Semi-Arid Steppe Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.26,0
pb-ssh,Southern Subtropics Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.23,0
w-cecy,Bachelor Button,wildflower seed,US | Shopping | Catchall - Wildflower Seed,4.19,0
pg-meal,White Sweet Clover - Bulk bags available - No added filler,pasture seed,US | Shopping | Catchall - Pasture Seed,4.07,1
pg-agsi,Siberian Wheatgrass,pasture seed,US | Shopping | Catchall - Pasture Seed,4.07,0
pg-agsp,Bluebunch Wheatgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,4.03,0
pb-glg,Great Lakes/New England Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,3.93,0
pg-loco,Birdsfoot Trefoil,pasture seed,US | Performance Max | Forage Mixes,3.88,1
w-asla,Smooth Aster,wildflower seed,Shopping | grass | ROAS,3.88,0
pg-lius,Common Flax,pasture seed,US | Shopping | Catchall - Pasture Seed,3.86,2
pg-alar,Creeping Foxtail Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,3.84,0
w-moci,Lemon Mint,wildflower seed,US | Shopping | Catchall - Wildflower Seed,3.82,0
pb-satal,South-Atlantic Transitional Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,3.78,0
pb-ssbc,Southern Subtropics Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,3.66,0
w-peem,Desert Daisy,wildflower seed,US | Shopping | Catchall - Wildflower Seed,3.61,0
w-lima,Baby Snapdragon,wildflower seed,US | Shopping | Catchall - Wildflower Seed,3.59,0
s-felo,Hard Fescue Grass Seed | Nature's Seed,grass seed,Nat | PMax | Catch All,3.55,3
w-spam,Desert Globemallow Wildflower Seed | Nature's Seed,wildflower seed,Shopping | grass | ROAS,3.45,0
pb-gpdc,Great Plains Dairy Cow Forage Mix,pasture seed,US | Shopping | Catchall - Pasture Seed,3.39,3
turf-nw,Northwest Grass Seed Mix | Nature's Seed,grass seed,Nat | PMax | Catch All,3.39,0.81
w-phse,Silky Phacelia,wildflower seed,Shopping | grass | ROAS,3.37,2
w-deaj,Rocket Larkspur,wildflower seed,US | Shopping | Catchall - Wildflower Seed,3.32,0
w-carh,Splitleaf Indian Paintbrush Wildflower Seed | Nature's Seed,wildflower seed,Nat | PMax | Wildflower Seed | Max Conv,3.26,1.5
pb-ssah,Southwest Semi-Arid Steppe Horse Forage Mix,pasture seed,US | Performance Max | Forage Mixes,3.19,0
pg-agel,Tall Wheatgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,3.08,0
pb-iwdc,Intermountain West Dairy Cow Forage Mix,pasture seed,Shopping | grass | ROAS,3.05,0
pb-iwb,Intermountain West Bison Forage Mix,pasture seed,US | Shopping | Catchall - Pasture Seed,3.01,0
pb-ssbc,Southern Subtropics Beef Cattle Forage Mix,pasture seed,US | Performance Max | Forage Mixes,2.89,0
pg-brhi,White Mustard Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.87,2
pb-mwb,Mid-West/Mid-Atlantic Bison Forage Mix,pasture seed,US | Performance Max | Forage Mixes,2.84,0
pg-brma,Mountain Brome Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.76,0
pb-iwal,Intermountain West Alpaca/Llama Forage Mix,pasture seed,US | Performance Max | Forage Mixes,2.75,0.5
pg-sami,Small Burnet,pasture seed,US | Shopping | Catchall - Pasture Seed,2.75,0
pb-glec,Great Lakes/New England Erosion Control Mix,specialty seed,US | Shopping | Catchall - Specialty Seed,2.75,0
w-pepa2,Parry Penstemon,wildflower seed,Southwest Desert | Shopping,2.75,0.02
pg-lius,Common Flax Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.75,2
wb-ca,California Wildflower Seed Mix | Nature's Seed,wildflower seed,Nat | PMax | Wildflower Seed | Max Conv,2.7,0.33
w-lupe,Wild Lupine,wildflower seed,US | Shopping | Catchall - Wildflower Seed,2.69,0
pg-alar,Creeping Foxtail,pasture seed,US | Shopping | Catchall - Pasture Seed,2.62,0
pg-sihy,Bottlebrush Squirreltail,grass seed,Nat | PMax | Catch All,2.61,0
pb-swdal,Southwest Desert Alpaca/Llama Forage Mix,pasture seed,US | Shopping | Catchall - Pasture Seed,2.6,0
turf-br,Kentucky Bluegrass Seed: Blue Ribbon Mix Grass Seed | Nature's Seed,grass seed,Nat | PMax | Catch All,2.59,0
pb-pnwdc,Pacific Northwest Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.57,0
pg-elvi,Virginia Wildrye Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.51,0
pg-hovu,Barley,pasture seed,US | Performance Max | Forage Mixes,2.46,0
pb-iwpb,Intermountain West Poultry Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.46,0.5
pb-ssab,Southwest Semi-Arid Steppe Bison Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.43,0
pg-peas,Field Pea,pasture seed,US | Performance Max | Forage Mixes,2.38,0
pg-brma,Mountain Brome,pasture seed,US | Shopping | Catchall - Pasture Seed,2.36,0.33
pb-ssadc,Southwest Semi-Arid Steppe Dairy Cow Forage Mix,pasture seed,US | Performance Max | Forage Mixes,2.35,0
w-disi,African Daisy,wildflower seed,US | Shopping | Catchall - Wildflower Seed,2.29,0
pg-cela,Winterfat Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.29,0
pg-pami,White Proso Millet,pasture seed,US | Performance Max | Forage Mixes,2.26,1
w-luar2,Silverleaf Lupine,wildflower seed,US | Shopping | Catchall - Wildflower Seed,2.24,1
pb-ftal,Florida Tropics Alpaca/Llama Forage Mix,pasture seed,US | Performance Max | Forage Mixes,2.22,0
w-aqco,Colorado Columbine,wildflower seed,Intermountain West | Shopping,2.16,1
pg-avsa,Oats,pasture seed,US | Performance Max | Forage Mixes,2.15,0
pg-pami,White Proso Millet Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,2.15,1
wb-mw,Midwest Wildflower Seed Mix,wildflower seed,Midwest / Mid-Atlantic | Shopping,2.14,0
w-abvi,Desert Sand Verbena Wildflower Seed | Nature's Seed,wildflower seed,Nat | PMax | Wildflower Seed | Max Conv,2.12,1
pb-swth,Southwest Transitional Horse Forage Mix,pasture seed,US | Performance Max | Forage Mixes,2.1,0
w-pepa,Palmer's Penstemon,wildflower seed,Shopping | grass | ROAS,2.1,0
pb-ftdc,Florida Tropics Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.94,0
pb-mwdc,Mid-West/Mid-Atlantic Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.93,0
pb-swdec,Southwest Desert Erosion Control Mix Specialty Seed | Nature's Seed,specialty seed,Southwest Desert | Shopping,1.9,0
pb-ftal,Florida Tropics Alpaca/Llama Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.89,0
w-panu,Icelandic Poppy,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.87,0
pg-peas,Field Pea Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.87,1
w-bamu,Desert Marigold Wildflower Seed | Nature's Seed,wildflower seed,Southwest Desert | Shopping,1.86,0
pg-loco,Birdsfoot Trefoil Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.86,1.98
pg-meof,Yellow Sweet Clover Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.85,0
pg-sonu,Indiangrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.85,0
pg-agri,Streambank Wheatgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.82,0
pg-agsi,Siberian Wheatgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.81,0
w-liru,Scarlet Flax,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.72,1
pg-vivi,Hairy Vetch Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.72,0
pg-lomu,Annual Ryegrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.72,0
w-mysy,Forget-Me-Not,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.66,0
w-phse,Silky Phacelia Wildflower Seed | Nature's Seed,wildflower seed,Nat | PMax | Wildflower Seed | Max Conv,1.66,0.67
pb-ssdc,Southern Subtropics Dairy Cow Forage Mix,pasture seed,US | Performance Max | Forage Mixes,1.64,0
pg-sami,Small Burnet Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.63,0
pg-posa,Sandberg Bluegrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.62,0
w-peea,Firecracker Penstemon Wildflower Seed | Nature's Seed,wildflower seed,Nat | PMax | Wildflower Seed | Max Conv,1.62,0
pg-agda,Thickspike Wheatgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.6,1
w-parh,Shirley Poppy,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.55,0
pb-glec,Great Lakes/New England Erosion Control Mix Specialty Seed | Nature's Seed,specialty seed,Shopping | grass | ROAS,1.55,0
pb-iwb,Intermountain West Bison Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.55,0
w-lapl,Tidy Tips,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.54,1
w-vide,Desert Sunflower Wildflower Seed | Nature's Seed,wildflower seed,Shopping | grass | ROAS,1.53,0
pb-ftp,Florida Tropics Pollinator Mix,specialty seed,US | Shopping | Catchall - Specialty Seed,1.52,0
w-gyel,Baby's Breath,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.51,0
w-sppa,Nelson Globemallow,wildflower seed,Shopping | grass | ROAS,1.51,0
pg-asci,Cicer Milkvetch,pasture seed,US | Performance Max | Forage Mixes,1.5,0
pg-cela,Winterfat,pasture seed,US | Shopping | Catchall - Pasture Seed,1.48,1
wb-sw,Southwest Wildflower Seed Mix,wildflower seed,Southwest Transitional | Shopping,1.43,0
wb-ca,California Wildflower Seed Mix - 1/4 lb and Bulk Sizes,wildflower seed,Pacific Southwest | Shopping,1.43,0
w-lisp,Spiked Gayfeather Wildflower Seed | Nature's Seed,wildflower seed,Shopping | grass | ROAS,1.43,2
pb-ssal,Southern Subtropics Alpaca/Llama Forage Mix,pasture seed,US | Shopping | Catchall - Pasture Seed,1.42,0.5
w-lual,Mountain Lupine,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.42,0
pb-ftbc,Florida Tropics Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.41,0
pb-ssag,Southwest Semi-Arid Steppe Goat Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.4,0
w-pery,Blue Mountain Penstemon,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.39,0
w-gevi,Sticky Purple Geranium,wildflower seed,Shopping | grass | ROAS,1.39,2
pb-mwp,Mid-West/Mid-Atlantic Pollinator Mix,specialty seed,Midwest / Mid-Atlantic | Shopping,1.38,0
pb-ssas,Southwest Semi-Arid Steppe Sheep Forage Mix,pasture seed,US | Shopping | Catchall - Pasture Seed,1.37,0
pg-vivi,Hairy Vetch,pasture seed,Great Lakes / New England | Shopping,1.35,1
w-asla,Smooth Aster Wildflower Seed | Nature's Seed,wildflower seed,Nat | PMax | Wildflower Seed | Max Conv,1.33,0
w-spmu,Munro Globemallow,wildflower seed,Shopping | grass | ROAS,1.3,0
pb-swth,Southwest Transitional Horse Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.3,0
pb-ssas,Southwest Semi-Arid Steppe Sheep Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.3,0.5
pb-ssabc,Southwest Semi-Arid Steppe Beef Cattle Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.29,0
w-gitr,Bird's Eye Gilia,wildflower seed,US | Shopping | Catchall - Wildflower Seed,1.26,0
pb-pswal,Pacific Southwest Alpaca/Llama Forage Mix,pasture seed,US | Shopping | Catchall - Pasture Seed,1.26,0
pb-gldc,Great Lakes/New England Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.26,0
pb-mwb,Mid-West/Mid-Atlantic Bison Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.24,0
pg-deca,Tufted Hairgrass Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.24,0
wb-gb,Great Basin Wildflower Mix | Nature's Seed,wildflower seed,Intermountain West | Shopping,1.23,0
pb-swddc,Southwest Desert Dairy Cow Forage Mix Pasture Seed | Nature's Seed,pasture seed,Nat | PMax | Pasture Seed | ROAS,1.21,0
