old_product_id,old_title,old_total_spend,old_total_revenue,old_roas,new_product_id,new_title,match_method,match_confidence
turf-wnw-2000-f,TWCA Water-Wise Northwest Mix - Grass Seed | Nature's Seed,11.54,8.00,0.69,gla_445843,"Sheep Pasture Seed Mix - Cold Season, High-Protein Legume - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map,medium
pb-iwbc-0.5-a,Intermountain West Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,103.73,7.86,0.08,gla_440359,"Cattle Pasture Seed Mix - Cold Season Perennial Forage - 10 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map,medium
pb-iwbc-0.5-a,Intermountain West Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,103.73,7.86,0.08,gla_446796,"Cattle Pasture Seed Mix - Cold Season Perennial Forage - 20 lb, Covers 40,000 sq ft | Nature's Seed",replacement_map,medium
pb-iwbc-0.5-a,Intermountain West Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,103.73,7.86,0.08,gla_446797,"Cattle Pasture Seed Mix - Cold Season Perennial Forage - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map,medium
w-spmu-0.25-lb,Munro Globemallow - Wildflower Seed | Nature's Seed,3.02,7.81,2.59,UNMATCHED,,none,none
w-peem-1-p,Desert Daisy - Wildflower Seed | Nature's Seed,15.64,7.74,0.49,UNMATCHED,,none,none
pg-pano-50-lb,Bahia Grass - Pasture Seed | Nature's Seed,169.27,7.70,0.05,gla_445829,"Bahia Grass Pasture Seed - Heat-Resistant Southern Forage - 25 lb, Covers 25,000 sq ft | Nature's Seed",base_sku_match,high
pg-pano-50-lb,Bahia Grass - Pasture Seed | Nature's Seed,169.27,7.70,0.05,gla_444230,"Bahia Grass Pasture Seed - Heat-Resistant Southern Forage - 5 lb, Covers 5,000 sq ft | Nature's Seed",base_sku_match,high
pg-pano-50-lb,Bahia Grass - Pasture Seed | Nature's Seed,169.27,7.70,0.05,gla_445830,"Bahia Grass Pasture Seed - Heat-Resistant Southern Forage - 50 lb, Covers 50,000 sq ft | Nature's Seed",base_sku_match,high
gla_182990,Florida Tropics Dryland Pasture Mix,113.10,7.70,0.07,gla_459553,"Dryland Pasture Seed Mix - Drought-Tolerant Forage Grass - 10 lb, Covers 5,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_182990,Florida Tropics Dryland Pasture Mix,113.10,7.70,0.07,gla_459555,"Dryland Pasture Seed Mix - Drought-Tolerant Forage Grass - 20 lb, Covers 25,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_182990,Florida Tropics Dryland Pasture Mix,113.10,7.70,0.07,gla_459554,"Dryland Pasture Seed Mix - Drought-Tolerant Forage Grass - 50 lb,  | Nature's Seed",replacement_map_title,medium
gla_184552,White Clover,71.81,7.52,0.10,gla_452370,"White Clover Seed - Perennial Groundcover & Nitrogen Fixer - 10 lb, Covers 20,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184552,White Clover,71.81,7.52,0.10,gla_452371,"White Clover Seed - Perennial Groundcover & Nitrogen Fixer - 5 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map_title,medium
gla_184552,White Clover,71.81,7.52,0.10,gla_452372,"White Clover Seed - Perennial Groundcover & Nitrogen Fixer - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map_title,medium
pg-posa-1-lb,Sandberg Bluegrass - Pasture Seed | Nature's Seed,5.37,7.51,1.40,gla_452707,"Pet & Kid Safe Bluegrass Lawn Seed Bundle - Low-Maintenance Turf - 10 lb, Covers 2,000 sq ft | Nature's Seed",replacement_map,medium
pg-posa-1-lb,Sandberg Bluegrass - Pasture Seed | Nature's Seed,5.37,7.51,1.40,gla_452708,"Pet & Kid Safe Bluegrass Lawn Seed Bundle - Low-Maintenance Turf - 25 lb, Covers 5,000 sq ft | Nature's Seed",replacement_map,medium
pg-posa-1-lb,Sandberg Bluegrass - Pasture Seed | Nature's Seed,5.37,7.51,1.40,gla_452709,"Pet & Kid Safe Bluegrass Lawn Seed Bundle - Low-Maintenance Turf - 5 lb, Covers 1,000 sq ft | Nature's Seed",replacement_map,medium
pb-swtpb-2.5-a,Southwest Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,6.48,7.47,1.15,gla_445557,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 25 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map,medium
pb-swtpb-2.5-a,Southwest Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,6.48,7.47,1.15,gla_445869,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map,medium
pb-swtpb-2.5-a,Southwest Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,6.48,7.47,1.15,gla_445261,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 50 lb, Covers 100,000 sq ft | Nature's Seed",replacement_map,medium
w-gapu,Firewheel,1.74,7.18,4.13,UNMATCHED,,none,none
pg-lomu-50-lb,Annual Ryegrass - Pasture Seed | Nature's Seed,8.22,7.01,0.85,gla_446610,"Perennial Ryegrass Pasture Seed - Quick-Growing Forage - 25 lb, Covers 25,000 sq ft | Nature's Seed",replacement_map,medium
pg-lomu-50-lb,Annual Ryegrass - Pasture Seed | Nature's Seed,8.22,7.01,0.85,gla_444234,"Perennial Ryegrass Pasture Seed - Quick-Growing Forage - 5 lb, Covers 5,000 sq ft | Nature's Seed",replacement_map,medium
pg-lomu-50-lb,Annual Ryegrass - Pasture Seed | Nature's Seed,8.22,7.01,0.85,gla_446612,"Perennial Ryegrass Pasture Seed - Quick-Growing Forage - 50 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map,medium
pb-swtpb-500-f,Southwest Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,2.91,6.97,2.40,gla_445557,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 25 lb, Covers 50,000 sq ft | Nature's Seed",replacement_map,medium
pb-swtpb-500-f,Southwest Transitional Poultry Forage Blend - Pasture Seed | Nature's Seed,2.91,6.97,2.40,gla_445869,"Chicken & Poultry Forage Seed Mix - Clover & Alfalfa Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed",replacement_map,medium
