Year,Quarter,State/Region,Country,Campaign Name,Campaign ID,Impressions,Clicks,CTR,Cost ($),Conversions,Conv. Value ($),ROAS
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Pacific Southwest | Performance Max | Pasture Seed,16806430749,120,2,0.01666666667,1.16,0.5,144.04,124.18
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southwest Transitional | Performance Max | Pasture Seed,16806430755,30,1,0.03333333333,0.86,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2124,Pacific Northwest | Performance Max | Pasture Seed,16806278826,8,1,0.125,0.73,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Intermountain West | Performance Max | Pasture Seed,16806430758,36,1,0.02777777778,0.27,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2484,US | Performance Max | Forage Mixes,16219169257,93,4,0.04301075269,0.18,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,US | Shopping | Catchall - Grass Seed,11038420983,31,1,0.03225806452,0.17,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2380,US | Shopping | Catchall - Pasture Seed,11039637965,1,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2724,US | Shopping | Catchall - Pasture Seed,11039637965,2,0,0.00%,0,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Midwest / Mid-Atlantic | DSA | Forage Mixes and Pasture Seed,12425316629,3,0,0.00%,0,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Southern Subtropics | Shopping | Forage Mixes,12428489719,5,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southern Subtropics | Shopping | Forage Mixes,12428489719,33,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southwest Steppe | DSA | Forage Mixes and Pasture Seed,12453610304,4,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southwest Transitional | Shopping | Forage Mixes,12455902686,57,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Great Plains | Shopping | Forage Mixes,12455902692,55,0,0.00%,0,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Great Lakes / New England | Shopping | Forage Mixes,12455902698,1,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southwest Transitional | DSA | Forage Mixes and Pasture Seed,12455942305,7,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2124,Nat | PMax | Catch All,16503493089,1,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2380,Nat | PMax | Catch All,16503493089,3,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2724,Nat | PMax | Catch All,16503493089,1,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2124,Intermountain West | Search | Pasture Seed,16595988440,26,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2484,Pacific Southwest | Search | Pasture Seed,16595988443,1,0,0.00%,0,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2124,Pacific Northwest | Performance Max | Pasture Seed,16806278826,9,0,0.00%,0,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Pacific Northwest | Performance Max | Pasture Seed,16806278826,44,0,0.00%,0,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Pacific Southwest | Performance Max | Pasture Seed,16806430749,8,0,0.00%,0,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Southwest Desert | Performance Max | Pasture Seed,16806430752,9,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2840,Southwest Desert | Performance Max | Pasture Seed,16806430752,57,0,0.00%,0,0,0,0
2022,Q2022-04-01,AREA_OF_INTEREST,2840,Southwest Transitional | Performance Max | Pasture Seed,16806430755,16,0,0.00%,0,0,0,0
2022,Q2022-04-01,LOCATION_OF_PRESENCE,2124,Intermountain West | Performance Max | Pasture Seed,16806430758,1,0,0.00%,0,0,0,0
2022,Q2022-07-01,LOCATION_OF_PRESENCE,2840,Nat | PMax | Catch All,16503493089,1089586,17112,0.01570504761,5639.38,850.71,56976.23,10.1
2022,Q2022-07-01,LOCATION_OF_PRESENCE,2840,Search | Brand | ROAS,187765054,5101,1925,0.3773769849,2552.1,260.52,55055.09,21.57
2022,Q2022-07-01,LOCATION_OF_PRESENCE,2840,Shopping | grass | ROAS,13558031185,345282,2712,0.007854449407,743.08,52.92,7012.61,9.44
2022,Q2022-07-01,LOCATION_OF_PRESENCE,2840,Pacific Northwest | DSA,17861381741,6272,753,0.120057398,587.94,46.1,9823.37,16.71
2022,Q2022-07-01,LOCATION_OF_PRESENCE,2840,Pacific Northwest | Shopping,17746298618,62143,966,0.01554479185,451.33,32.36,5844.42,12.95
2022,Q2022-07-01,LOCATION_OF_PRESENCE,2840,Nat | PMax | Pasture Seed | ROAS,18022523001,135575,1212,0.008939701272,314.59,38.55,2838.83,9.02
2022,Q2022-07-01,LOCATION_OF_PRESENCE,2840,US | Shopping | Catchall - Pasture Seed,11039637965,174292,1490,0.008548872008,305.23,45.85,6080.37,19.92
