sku,product_name,order_count
PG-BRHI-1-LB,White Mustard - 1 lb,16
PG-ONVI-10-LB,Sainfoin - 10 lbs,16
PG-MESA-50-LB-OLD,Alfalfa Seeds - 50 lbs,16
W-LUAL-0.25-LB,Mountain Lupine - 0.25lbs,16
PG-TRAR-10-LB,Wheat - 10 lbs,16
,Arizona Poppy - 1 Pack,16
,Hummingbird Pollinator Mix - 500 ft²,16
W-CECY-0.25-LB,Bachelor Button - 0.25lbs,15
PG-BUCK-25-LB-OLD,Common Buckwheat - 25 lbs,15
W-ENFA-0.25-LB-OLD,Brittlebush - 0.25lbs,15
W-SPCO2,Coulter's Globemallow - 1 Pack,15
W-GICA,Globe Gilia - 1 Pack,15
W-MOFI-0.25-LB,Wild Bergamot - 0.25lbs,14
PG-BROL-1-LB,Collards - 1 lb,14
PG-SOBI-10-LB,Grain Sorghum - 10 lbs,14
W-PEPA2,Parry Penstemon - 1 Pack,14
PG-SOBI-1-LB,Grain Sorghum - 1 lbs,14
W-CECY-1-LB,Bachelor Button - 1lbs,14
PG-BUCK-10-LB-OLD,Common Buckwheat - 10 lbs,14
PG-PEAS-50-LB,Field Pea - 50 lbs,14
W-LAPL,Tidy Tips - 1 Pack,14
W-COHE,Chinese Houses - 1 Pack,14
W-GYEL-1-LB,Baby’s Breath - 1lbs,13
W-LUSP,Desert Lupine - 1 Pack,13
W-LUDE-N-0.25-LB,Golden Lupine - 0.25lbs,13
,Foxtail Millet - 1 lbs,13
W-BASA,Arrowleaf Balsamroot - 1 Pack,13
W-CLPU2-N,Purple Clarkia - 1 Pack,13
WB-SD-2000-F,Sonoran Desert Wildflower Mix - 2000 ft²,13
PG-LIUS-10-LB,Common Flax - 10 lbs,12
PG-BRBI-10-LB,Meadow Brome - 10 lbs,12
PB-MWP-500-F,Mid-West/Mid-Atlantic Pollinator Mix - 500 ft²,12
PG-ATLE-1-LB,Quailbush - 1 lb,12
W-GITR-0.25-LB,Bird’s Eye Gilia - 0.25lbs,12
,Showy Penstemon - 1 Pack,12
,Desert Sand Verbena - 1 Pack,12
W-PARH-1-LB,Shirley Poppy - 1lbs,11
W-TRMA2-0.25-LB,Nasturtium Seeds - 0.25lbs,11
PG-SPCR-1-LB,Sand Dropseed - 1 lb,11
PG-LEST,Common Lespedeza - 1 lb,11
W-CLAM,Farewell-To-Spring - 1 Pack,11
PG-BRNA,Rapeseed - 1 lb,10
W-COTI-0.25-LB,Plains Coreopsis - 0.25lbs,10
W-COSU-0.25-LB,Sulphur Cosmos - 0.25lbs,10
PG-VIVI-10-LB,Hairy Vetch - 10 lbs,10
W-NEMA,Five Spot - 1 Pack,10
W-DISI-0.25-LB,African Daisy - 0.25lbs,10
W-ASSY,Common Milkweed - 1 Pack,10
W-LUAR-0.25-LB,Arizona Lupine - 0.25lbs,10
W-RUHI-0.5-LB,Black-Eyed Susan - 0.5lbs,9
PG-SAMI-10-LB,Small Burnet - 10 lbs,9
,Canada Goldenrod - 1 Pack,9
PG-SAMI-1-LB,Small Burnet - 1 lb,9
PG-BRMA-1-LB,Mountain Brome - 1 lb,8
W-COTI-1-LB,Plains Coreopsis - 1lbs,8
,Hummingbird Pollinator Mix - 2000 ft²,8
PG-BRIN-1-LB,Smooth Brome - 1 lb,8
W-ASSP-0.25-LB,Showy Milkweed - 0.25lbs,8
PG-PAMI-1-LB,White Proso Millet - 1 lbs,8
