sku,name,status,revenue_q1q2,customer_count,units_sold
WB-MW-2000-F,Midwest Wildflower Mix - 2000 ft²,PHASED_OUT,1830.01,30,49
TURF-BUDA-500-F,Buffalograss Seed Blend - 500 ft²,PHASED_OUT,1813.49,16,17
S-INNOC-10-LB-OLD,Am 120 Standard Mycorrhizal Inoculant - 10 lbs,PHASED_OUT,1812.14,16,17
PB-GPBC-1-A,Great Plains Beef Cattle Forage Mix - 1 Acre,PHASED_OUT,1803.34,2,8
PG-LOCO-1-LB,Birdsfoot Trefoil - 1 lb,PHASED_OUT,1787.97,72,128
PB-SWTG,Southwest Transitional Goat Forage Mix - 1 Acre,PHASED_OUT,1785.67,12,12
PG-HEAN-1-LB,Annual Sunflower - 1 lb,PHASED_OUT,1769.8,40,49
PG-SCSC-10-LB,Little Bluestem - 10 lbs,PHASED_OUT,1768.5,11,13
PB-PNWS,Pacific Northwest Sheep Forage Mix - 1 Acre,PHASED_OUT,1764.37,9,12
PG-SCSC-1-LB,Little Bluestem - 1 lb,PHASED_OUT,1745.97,50,97
PB-SATPB-5000-F,South-Atlantic Transitional Poultry Forage Mix - 5000 ft²,PHASED_OUT,1728.16,29,33
PG-TRHY,Alsike Clover - 10 lbs,ACTIVE,1711.86,74,120
PB-SHEP-N-50-LB-,Intermountain West Sheep Forage Mix - 2.5 Acres,PHASED_OUT,1700.0,4,5
PB-GLS-0.5-A,Great Lakes/New England Sheep Forage Mix - 1/2 Acre,PHASED_OUT,1695.54,10,13
W-ASFA-N-0.25-LB-OLD,Narrowleaf Milkweed - 0.25lbs,PHASED_OUT,1673.1,8,8
PB-PSWPB-5000-F,Pacific Southwest Poultry Forage Mix - 5000 ft²,PHASED_OUT,1644.89,4,5
PB-SHEP-N-20-LB-,Intermountain West Sheep Forage Mix - 1 Acre,PHASED_OUT,1643.0,8,9
PB-WLWP-1-LB,Western Low-Water Use Pollinator Mix - 1 lbs,PHASED_OUT,1631.44,33,44
PB-PNWH-10-LB,Pacific Northwest Horse Forage Mix - 1/2 Acre,PHASED_OUT,1595.71,15,24
PG-CYDA-25-LB-OLD,Common Bermudagrass - 25 lbs,PHASED_OUT,1566.66,3,6
PB-HRSE-T-10-LB-OLD,Transitional Horse Pasture Mix,PHASED_OUT,1559.83,8,17
PB-SHEP-N-OLD,Northern Sheep Pasture Mix,PHASED_OUT,1529.83,10,17
PB-GOAT-N-OLD,Northern Goat Pasture Mix,PHASED_OUT,1529.83,11,17
PG-CHIN-10-LB,Forage Chicory - 10 lbs,PHASED_OUT,1528.0,19,21
S-FERU-1-LB,"Red Fescue Grass - 1 lb, Native Variety",PHASED_OUT,1523.8,36,112
PB-HRSE-N-OLD,Northern Horse Pasture Mix,PHASED_OUT,1511.83,7,17
PG-BRIN-10-LB,Smooth Brome - 10 lbs,PHASED_OUT,1507.15,5,19
S-MICRO-500-F-OLD,Micro Clover Seed - 500 ft²,PHASED_OUT,1500.98,60,69
S-RICE-OLD,Rice Hulls - 45 lbs,PHASED_OUT,1483.72,13,16
TURF-WNW,TWCA Water-Wise Northwest Mix - 1000 ft²,PHASED_OUT,1481.47,9,11
PB-GLBC-1-A,Great Lakes/New England Beef Cattle Forage Mix - 1/2 Acre,PHASED_OUT,1479.87,9,17
WB-IF-2000-F,Insecta-Flora Mix - 2000 ft²,PHASED_OUT,1471.68,32,36
PB-WLWP,Western Low-Water Use Pollinator Mix - 0.5 lbs,PHASED_OUT,1458.41,10,12
TURF-POPR,Velvet Blue Seed Blend - 2000 ft²,PHASED_OUT,1449.21,18,21
PB-PSWH-0.5-A,Pacific Southwest Horse Forage Mix - 1/2 Acre,PHASED_OUT,1437.65,12,16
PB-CNEC-1-LB-OLD,California Native Erosion Control Mix - 1 lbs,PHASED_OUT,1435.02,26,35
PG-AGSP-50-LB,Bluebunch Wheatgrass - 50 lbs,PHASED_OUT,1434.38,1,2
WB-BEP-2000-F,Western Native Pollinator Wildflower Mix - 2000 ft²,PHASED_OUT,1426.97,16,28
PB-PSWG-1-A,Pacific Southwest Goat Forage Mix - 1 Acre,PHASED_OUT,1421.0,6,7
