old_sku,old_name,old_categories,old_revenue_q1q2,old_customer_count,old_units_sold,new_sku,new_name,new_categories,new_permalink,new_price,new_image,match_score,replacement_notes
PG-SCSC-25-LB,Little Bluestem - 25 lbs,,480.0,2,2,TURF-W-BLUE-BUNDLE,Premium Pet & Kid Friendly Bluegrass Bundle,All Seed,https://naturesseed.com/product/premium-pet-kid-friendly-bluegrass-bundle/,199.99,https://naturesseed.com/wp-content/uploads/2025/09/pet_bluegrass_bundle-1.png,30,
WB-FM-500-F,Flowering Meadow Mix - 500 ft²,,474.63,14,14,BDL-FYC,First-Year Color + Perennial Foundation Wildflower Kit,Native Wildflower Seed &amp; Seed Mixes,https://naturesseed.com/products/wildflower-seed/first-year-and-perennial-foundation-wildflower-kit/,49.99,https://naturesseed.com/wp-content/uploads/2026/02/First-Year-Color-Perennial-Foundation-Wildflower-Kit-2-Mix-Instant-Permanent-Meadow-Starter-1.png,30,
W-NEME-0.5-LB,Baby Blue Eyes - 0.5lbs,,470.21,9,9,W-SIBE,Blue-Eyed Grass Seed,"All Seed, Native Wildflower Seed &amp; Seed Mixes, Specialty Seed, California Collection",https://naturesseed.com/products/wildflower-seed/blue-eyed-grass/,50.58,https://naturesseed.com/wp-content/uploads/2025/09/Western-Blue-eyed-Grass.png,40,
PB-GLD-0.5-A,Great Lakes/New England Dryland Pasture Mix - 1/2 Acre,,459.54,3,4,PB-DRY,Dryland Pasture Mix,,https://naturesseed.com/products/pasture-seed/dryland-pasture-mix/,50.99,https://naturesseed.com/wp-content/uploads/2025/12/DrylandPAsture.webp,80,
PB-SSEC-2.5-A,Southern Subtropics Erosion Control Mix - 1/2 Acre,,458.05,4,5,CV-CNEC,California Native Erosion Control Mix,"Specialty Seed, All Seed, California Collection",https://naturesseed.com/products/specialty-seed/california-native-erosion-control-mix/,205.88,https://naturesseed.com/wp-content/uploads/2025/07/shutterstock_2497091527-scaled-1.jpg,50,
PB-SSPB-1000-F,Southern Subtropics Poultry Forage Mix - 1000 ft²,,451.53,23,24,PB-CHIX,Chicken Forage Seed Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,19.99,https://naturesseed.com/wp-content/uploads/2025/07/POULTRY-1.webp,70,
PB-MWD-1-A,Mid-West/Mid-Atlantic Dryland Pasture Mix - 1 Acre,,441.9,3,3,PB-DRY,Dryland Pasture Mix,,https://naturesseed.com/products/pasture-seed/dryland-pasture-mix/,50.99,https://naturesseed.com/wp-content/uploads/2025/12/DrylandPAsture.webp,80,
PB-GLUG,Great Lakes/New England Upland Game Food Plot Mix - 1 Acre,,439.76,3,3,PB-GAME,Big Game Food Plot &amp; Forage Mix,"All Seed, Food Plot Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/big-game-food-plot-forage-mix/,29.99,https://naturesseed.com/wp-content/uploads/2025/07/Game-1.webp,60,
PG-LOPE-1-LB-OLD,Perennial Ryegrass - 1 lb,,439.59,35,74,PG-LOPE,Perennial Ryegrass,"All Seed, Cover Crop Seed, Northern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes, Individual Pasture Species, Pasture Seed",https://naturesseed.com/products/pasture-seed/perennial-ryegrass/,34.99,https://naturesseed.com/wp-content/uploads/2025/07/PerennialRyegrass-Crop.png,80,
PG-DECA-1-LB,Tufted Hairgrass - 1 lb,,438.8,10,12,BDL-ORL,Overseed &amp; Repair Lawn Kit,"Lawn Seed, Northern Lawn, Sports Turf/High Traffic, Transitional Lawn",https://naturesseed.com/products/grass-seed/overseed-and-repair-lawn-kit/,79.99,https://naturesseed.com/wp-content/uploads/2026/02/Overseed-Repair-Lawn-Kit-Fast-Green-Perennial-Ryegrass-Deep-Rooted-Triblade-Elite-Tall-Fescue-1.png,30,
PB-FTH-0.5-A,Florida Tropics Horse Forage Mix - 1/2 Acre,,432.5,2,2,PB-HRSE-TR,Transitional Zone Horse Pasture Mix,"Pasture Seed, All Seed, Transitional Zone Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",https://naturesseed.com/products/pasture-seed/horse-pasture-mix-transitional/,49.99,https://naturesseed.com/wp-content/uploads/2025/07/THORSE.webp,70,
PG-POPR-25-LB-OLD,Kentucky Bluegrass - 25 lbs,,432.45,3,3,PG-POPR,Kentucky Bluegrass,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Individual Pasture Species",https://naturesseed.com/products/pasture-seed/kentucky-bluegrass/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/KentuckyBluegrass.png,80,
W-ECPU-0.25-LB,Purple Coneflower - 0.25lbs,,431.48,25,27,BDL-FYC,First-Year Color + Perennial Foundation Wildflower Kit,Native Wildflower Seed &amp; Seed Mixes,https://naturesseed.com/products/wildflower-seed/first-year-and-perennial-foundation-wildflower-kit/,49.99,https://naturesseed.com/wp-content/uploads/2026/02/First-Year-Color-Perennial-Foundation-Wildflower-Kit-2-Mix-Instant-Permanent-Meadow-Starter-1.png,30,
W-ESMA-1-LB-OLD,Coastal California Poppy - 1lbs,,431.3,2,2,PB-COSS,Coastal California Sage Scrub Mix,"All Seed, Native Wildflower Seed &amp; Seed Mixes, California Collection",https://naturesseed.com/products/wildflower-seed/coastal-sage-scrub-mix/,38.82,https://naturesseed.com/wp-content/uploads/2025/09/Coastal-Sage-Scrub-Mix.png,50,
WB-NE-500-F,Northeast Wildflower Mix - 500 ft²,,431.02,21,24,BDL-FYC,First-Year Color + Perennial Foundation Wildflower Kit,Native Wildflower Seed &amp; Seed Mixes,https://naturesseed.com/products/wildflower-seed/first-year-and-perennial-foundation-wildflower-kit/,49.99,https://naturesseed.com/wp-content/uploads/2026/02/First-Year-Color-Perennial-Foundation-Wildflower-Kit-2-Mix-Instant-Permanent-Meadow-Starter-1.png,40,
PB-SATBC,South-Atlantic Transitional Beef Cattle Forage Mix - 1/2 Acre,,429.25,3,3,PB-COW-SO,Warm Season Cattle Pasture Seed Mix,"All Seed, Cattle Pasture Seed, Southern US Pasture Seeds &amp; Seed Mixes, Pasture Seed",https://naturesseed.com/products/pasture-seed/cattle-dairy-cow-pasture-mix-for-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SCOW.webp,100,
PB-GPPB-500-F,Great Plains Poultry Forage Mix - 500 ft²,,427.08,21,30,PB-CHIX,Chicken Forage Seed Mix,"Pasture Seed, All Seed, Northern US Pasture Seeds &amp; Seed Mixes, Southern US Pasture Seeds &amp; Seed Mixes, Transitional Zone Pasture Seeds &amp; Seed Mixes",https://naturesseed.com/products/pasture-seed/poultry-forage-mix/,19.99,https://naturesseed.com/wp-content/uploads/2025/07/POULTRY-1.webp,70,
PB-SATH-0.5-A,South-Atlantic Transitional Horse Forage Mix - 1/2 Acre,,424.46,3,4,PB-HRSE-SO,Warm Season Horse Pasture Mix,"Pasture Seed, All Seed, Southern US Pasture Seeds &amp; Seed Mixes, Horse Pasture Seed",https://naturesseed.com/products/pasture-seed/horse-pasture-mix-warm-season/,39.99,https://naturesseed.com/wp-content/uploads/2025/07/SHORSE.webp,100,
