Product Item ID,Product Title,Product Type L1,Product Type L2,Total Spend ($),Total Clicks,Total Conversions,Total Conv Value ($),ROAS
pb-swtbc-2.5-a,Southwest Transitional Beef Cattle Forage Blend - Pasture Seed | Nature's Seed,pasture seed,southwest transitional beef cattle forage blend,50.38,68,0.0,0.0,0.0
gla_184691,Indiangrass,pasture seed,individual pasture species,49.66,13,0.0,0.0,0.0
pg-latr-1-lb,Creosote Bush - Specialty Seed | Nature's Seed,specialty seed,creosote bush,49.61,96,0.0,0.0,0.0
gla_186475,Black Sage,sale,,49.45,50,0.0,0.0,0.0
pb-gppb-1000-f,Great Plains Poultry Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains poultry forage blend,49.41,78,0.0,0.0,0.0
gla_185283,Wheat,pasture seed,individual pasture species,49.33,43,0.0,0.0,0.0
gla_185554,Southern Subtropics Poultry Forage Mix,pasture seed,poultry pastures,48.81,23,0.0,0.0,0.0
gla_183921,Intermountain West Sheep Forage Mix,pasture seed,sheep pastures,48.46,36,0.0,0.04,0.0
gla_186124,Deerweed,wildflower seed,,48.37,65,0.0,0.0,0.0
gla_184373,Southern Subtropics Honey Bee Pasture Mix,specialty seed,honey bee blends,48.34,46,0.0,0.0,0.0
pb-gps-2.5-a,Great Plains Sheep Forage Blend - Pasture Seed | Nature's Seed,pasture seed,great plains sheep forage blend,47.85,86,0.0,0.78,0.02
gla_184047,Bahia Grass Seed,lawn seed,grass seed by state,47.47,53,0.0,0.0,0.0
gla_186320,Coastal California Poppy,sale,,47.17,27,0.0,0.0,0.0
gla_185211,Intermountain West Big Game Food Plot Mix,specialty seed,specialty seed by region,47.07,25,0.0,0.0,0.0
pg-trhi-25-lb,Hykon Rose Clover - Pasture Seed | Nature's Seed,pasture seed,hykon rose clover,46.46,66,0.0,0.0,0.0
pb-mwp-5000-f,Mid-West/Mid-Atlantic Pollinator Blend - Specialty Seed | Nature's Seed,specialty seed,mid-west/mid-atlantic pollinator blend,46.1,36,0.0,0.0,0.0
gla_183801,Southwest Desert Goat Forage Mix,pasture seed,goat pastures,45.91,75,0.0,0.0,0.0
pb-mwug-1-a,Mid-West/Mid-Atlantic Upland Game Food Plot Blend - Specialty Seed | Nature's Seed,specialty seed,mid-west/mid-atlantic upland game food plot blend,45.64,65,0.0,0.0,0.0
pb-ftec-0.5-a,Florida Tropics Erosion Control Blend - Specialty Seed | Nature's Seed,specialty seed,florida tropics erosion control blend,45.61,71,0.0,0.0,0.0
turf-pano-5000-f,Bahia Grass Seed Blend - Grass Seed | Nature's Seed,grass seed,bahia grass seed blend,45.46,111,0.0,0.0,0.0
